2018-12-19 23:13:45, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 49ms
2018-12-19 23:13:55, Verisign, 64.6.64.6, ONLINE, 0, 102ms
2018-12-19 23:14:05, Google, 8.8.8.8, ONLINE, 0, 50ms
2018-12-19 23:14:15, Quad, 149.112.112.112, ONLINE, 0, 24ms
2018-12-19 23:14:26, DNS Watch, 84.200.69.80, ONLINE, 0, 118ms
2018-12-19 23:14:36, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 25ms
2018-12-19 23:14:46, OpenDNS Home, 208.67.222.222, ONLINE, 0, 51ms
2018-12-19 23:14:56, Cloudflare, 1.1.1.1, ONLINE, 0, 24ms
2018-12-19 23:15:06, FreeDNS, 37.235.1.177, ONLINE, 0, 131ms
2018-12-19 23:15:16, Alternate DNS, 198.101.242.72, ONLINE, 0, 69ms
2018-12-19 23:15:28, Dyn, 216.146.35.35, SLOW, 1, 1620ms
2018-12-19 23:15:43, SafeDNS, 195.46.39.39, OFFLINE, 1, 0m
2018-12-19 23:15:58, OpenNIC, 172.98.193.42, OFFLINE, 2, 0m
2018-12-19 23:16:13, Yandex DNS, 77.88.8.8, OFFLINE, 3, 0m
2018-12-19 23:16:24, UncensoredDNS, 89.233.43.71, SLOW, 2, 1174ms
2018-12-19 23:16:34, Hurricane Electric, 74.82.42.42, ONLINE, 0, 107ms
2018-12-19 23:16:44, puntCAT, 109.69.8.51, ONLINE, 0, 118ms
2018-12-19 23:16:54, Neustar, 156.154.71.1, ONLINE, 0, 28ms
2018-12-19 23:17:04, CleanBrowsing, 185.228.168.9, ONLINE, 0, 27ms
2018-12-19 23:17:14, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 145ms
2018-12-19 23:17:24, Verisign, 64.6.65.6, ONLINE, 0, 42ms
2018-12-19 23:17:35, Google, 8.8.4.4, ONLINE, 0, 870ms
2018-12-19 23:17:45, Quad, 9.9.9.9, ONLINE, 0, 37ms
2018-12-19 23:17:55, DNS Watch, 84.200.70.40, ONLINE, 0, 119ms
2018-12-19 23:20:23, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 47ms
2018-12-19 23:20:38, Verisign, 64.6.65.6, OFFLINE, 1, 0m
2018-12-19 23:20:50, Google, 8.8.4.4, SLOW, 1, 2723ms
2018-12-19 23:21:00, Quad, 149.112.112.112, ONLINE, 0, 27ms
2018-12-19 23:21:11, DNS Watch, 84.200.69.80, ONLINE, 0, 118ms
2018-12-19 23:21:21, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 28ms
2018-12-19 23:21:31, OpenDNS Home, 208.67.220.220, ONLINE, 0, 49ms
2018-12-19 23:21:41, Cloudflare, 1.1.1.1, ONLINE, 0, 105ms
2018-12-19 23:21:51, FreeDNS, 37.235.1.177, ONLINE, 0, 139ms
2018-12-19 23:22:01, Alternate DNS, 23.253.163.53, ONLINE, 0, 48ms
2018-12-19 23:22:11, Dyn, 216.146.35.35, ONLINE, 0, 43ms
2018-12-19 23:22:21, SafeDNS, 195.46.39.40, ONLINE, 0, 143ms
2018-12-19 23:22:36, OpenNIC, 198.206.14.241, OFFLINE, 1, 0m
2018-12-19 23:22:46, Yandex DNS, 77.88.8.8, ONLINE, 0, 140ms
2018-12-19 23:22:56, UncensoredDNS, 89.233.43.71, ONLINE, 0, 117ms
2018-12-19 23:23:06, Hurricane Electric, 74.82.42.42, ONLINE, 0, 97ms
2018-12-19 23:23:17, puntCAT, 109.69.8.51, ONLINE, 0, 130ms
2018-12-19 23:23:27, Neustar, 156.154.71.1, ONLINE, 0, 27ms
2018-12-19 23:23:37, CleanBrowsing, 185.228.169.9, ONLINE, 0, 581ms
2018-12-19 23:23:47, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 30ms
2018-12-19 23:23:57, Verisign, 64.6.64.6, ONLINE, 0, 103ms
2018-12-19 23:24:07, Google, 8.8.8.8, ONLINE, 0, 46ms
2018-12-19 23:24:17, Quad, 149.112.112.112, ONLINE, 0, 38ms
2018-12-19 23:24:28, DNS Watch, 84.200.70.40, ONLINE, 0, 588ms
2018-12-19 23:24:38, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 37ms
2018-12-19 23:24:48, OpenDNS Home, 208.67.222.222, ONLINE, 0, 44ms
2018-12-19 23:25:00, Cloudflare, 1.1.1.1, SLOW, 1, 1587ms
2018-12-19 23:25:15, FreeDNS, 37.235.1.177, OFFLINE, 1, 0m
2018-12-19 23:25:30, Alternate DNS, 198.101.242.72, OFFLINE, 2, 0m
2018-12-19 23:25:40, Dyn, 216.146.35.35, ONLINE, 0, 265ms
2018-12-19 23:25:50, SafeDNS, 195.46.39.40, ONLINE, 0, 208ms
2018-12-19 23:26:00, OpenNIC, 172.98.193.42, ONLINE, 0, 48ms
2018-12-19 23:26:10, Yandex DNS, 77.88.8.1, ONLINE, 0, 138ms
2018-12-19 23:26:20, UncensoredDNS, 91.239.100.100, ONLINE, 0, 122ms
2018-12-19 23:26:31, Hurricane Electric, 74.82.42.42, ONLINE, 0, 140ms
2018-12-19 23:26:42, puntCAT, 109.69.8.51, SLOW, 1, 1780ms
2018-12-19 23:26:52, Neustar, 156.154.70.1, ONLINE, 0, 43ms
2018-12-19 23:27:03, CleanBrowsing, 185.228.169.9, ONLINE, 0, 571ms
2018-12-19 23:27:13, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 129ms
2018-12-19 23:27:23, Verisign, 64.6.64.6, ONLINE, 0, 108ms
2018-12-19 23:27:33, Google, 8.8.4.4, ONLINE, 0, 39ms
2018-12-19 23:27:43, Quad, 149.112.112.112, ONLINE, 0, 36ms
2018-12-19 23:27:54, DNS Watch, 84.200.70.40, ONLINE, 0, 136ms
2018-12-19 23:28:04, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 33ms
2018-12-19 23:28:14, OpenDNS Home, 208.67.220.220, ONLINE, 0, 45ms
2018-12-19 23:28:24, Cloudflare, 1.1.1.1, ONLINE, 0, 28ms
2018-12-19 23:28:39, FreeDNS, 45.33.97.5, OFFLINE, 1, 0m
2018-12-19 23:28:54, Alternate DNS, 23.253.163.53, OFFLINE, 2, 0m
2018-12-19 23:29:09, Dyn, 216.146.35.35, OFFLINE, 3, 0m
2018-12-19 23:29:24, SafeDNS, 195.46.39.40, OFFLINE, 4, 0m
2018-12-19 23:29:39, OpenNIC, 198.206.14.241, OFFLINE, 5, 0m
2018-12-19 23:29:54, Yandex DNS, 77.88.8.1, OFFLINE, 6, 1m
2018-12-19 23:30:04, UncensoredDNS, 89.233.43.71, ONLINE, 0, 119ms
2018-12-19 23:30:14, Hurricane Electric, 74.82.42.42, ONLINE, 0, 98ms
2018-12-19 23:30:26, puntCAT, 109.69.8.51, SLOW, 1, 2528ms
2018-12-19 23:30:37, Neustar, 156.154.71.1, ONLINE, 0, 218ms
2018-12-19 23:30:52, CleanBrowsing, 185.228.169.9, OFFLINE, 1, 0m
2018-12-19 23:31:02, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 26ms
2018-12-19 23:31:17, Verisign, 64.6.64.6, OFFLINE, 1, 0m
2018-12-19 23:31:27, Google, 8.8.4.4, ONLINE, 0, 217ms
2018-12-19 23:31:37, Quad, 9.9.9.9, ONLINE, 0, 20ms
2018-12-19 23:31:48, DNS Watch, 84.200.70.40, ONLINE, 0, 889ms
2018-12-19 23:31:58, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 38ms
2018-12-19 23:32:08, OpenDNS Home, 208.67.220.220, ONLINE, 0, 28ms
2018-12-19 23:32:18, Cloudflare, 1.1.1.1, ONLINE, 0, 25ms
2018-12-19 23:32:28, FreeDNS, 45.33.97.5, ONLINE, 0, 149ms
2018-12-19 23:32:38, Alternate DNS, 198.101.242.72, ONLINE, 0, 451ms
2018-12-19 23:32:49, Dyn, 216.146.35.35, ONLINE, 0, 44ms
2018-12-19 23:32:59, SafeDNS, 195.46.39.40, ONLINE, 0, 136ms
2018-12-19 23:33:09, OpenNIC, 172.98.193.42, ONLINE, 0, 49ms
2018-12-19 23:33:19, Yandex DNS, 77.88.8.1, ONLINE, 0, 140ms
2018-12-19 23:33:31, UncensoredDNS, 91.239.100.100, SLOW, 1, 1798ms
2018-12-19 23:33:41, Hurricane Electric, 74.82.42.42, ONLINE, 0, 273ms
2018-12-19 23:33:56, puntCAT, 109.69.8.51, OFFLINE, 1, 0m
2018-12-19 23:34:11, Neustar, 156.154.71.1, OFFLINE, 2, 0m
2018-12-19 23:34:26, CleanBrowsing, 185.228.169.9, OFFLINE, 3, 0m
2018-12-19 23:34:41, CenturyLink Level 3, 209.244.0.4, OFFLINE, 4, 0m
2018-12-19 23:34:56, Verisign, 64.6.64.6, OFFLINE, 5, 0m
2018-12-19 23:35:07, Google, 8.8.4.4, ONLINE, 0, 696ms
2018-12-19 23:35:17, Quad, 149.112.112.112, ONLINE, 0, 28ms
2018-12-19 23:35:27, DNS Watch, 84.200.70.40, ONLINE, 0, 136ms
2018-12-19 23:35:37, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 30ms
2018-12-19 23:35:47, OpenDNS Home, 208.67.222.222, ONLINE, 0, 48ms
2018-12-19 23:35:57, Cloudflare, 1.0.0.1, ONLINE, 0, 28ms
2018-12-19 23:36:07, FreeDNS, 45.33.97.5, ONLINE, 0, 48ms
2018-12-19 23:36:17, Alternate DNS, 198.101.242.72, ONLINE, 0, 67ms
2018-12-19 23:36:27, Dyn, 216.146.36.36, ONLINE, 0, 48ms
2018-12-19 23:36:37, SafeDNS, 195.46.39.39, ONLINE, 0, 278ms
2018-12-19 23:36:52, OpenNIC, 198.206.14.241, OFFLINE, 1, 0m
2018-12-19 23:37:03, Yandex DNS, 77.88.8.1, ONLINE, 0, 138ms
2018-12-19 23:37:13, UncensoredDNS, 89.233.43.71, ONLINE, 0, 117ms
2018-12-19 23:37:23, Hurricane Electric, 74.82.42.42, ONLINE, 0, 97ms
2018-12-19 23:37:33, puntCAT, 109.69.8.51, ONLINE, 0, 139ms
2018-12-19 23:37:43, Neustar, 156.154.70.1, ONLINE, 0, 47ms
2018-12-19 23:37:53, CleanBrowsing, 185.228.169.9, ONLINE, 0, 277ms
2018-12-19 23:38:08, CenturyLink Level 3, 209.244.0.4, OFFLINE, 1, 0m
2018-12-19 23:38:18, Verisign, 64.6.64.6, ONLINE, 0, 106ms
2018-12-19 23:38:29, Google, 8.8.8.8, ONLINE, 0, 649ms
2018-12-19 23:38:39, Quad, 9.9.9.9, ONLINE, 0, 149ms
2018-12-19 23:38:49, DNS Watch, 84.200.69.80, ONLINE, 0, 117ms
2018-12-19 23:38:59, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 28ms
2018-12-19 23:39:09, OpenDNS Home, 208.67.220.220, ONLINE, 0, 52ms
2018-12-19 23:39:19, Cloudflare, 1.1.1.1, ONLINE, 0, 18ms
2018-12-19 23:39:29, FreeDNS, 45.33.97.5, ONLINE, 0, 63ms
2018-12-19 23:39:39, Alternate DNS, 198.101.242.72, ONLINE, 0, 68ms
2018-12-19 23:39:50, Dyn, 216.146.35.35, ONLINE, 0, 43ms
2018-12-19 23:40:00, SafeDNS, 195.46.39.40, ONLINE, 0, 131ms
2018-12-19 23:40:15, OpenNIC, 198.206.14.241, OFFLINE, 1, 0m
2018-12-19 23:40:25, Yandex DNS, 77.88.8.8, ONLINE, 0, 138ms
2018-12-19 23:40:35, UncensoredDNS, 91.239.100.100, ONLINE, 0, 127ms
2018-12-19 23:40:45, Hurricane Electric, 74.82.42.42, ONLINE, 0, 108ms
2018-12-19 23:40:55, puntCAT, 109.69.8.51, ONLINE, 0, 119ms
2018-12-19 23:41:05, Neustar, 156.154.70.1, ONLINE, 0, 47ms
2018-12-19 23:41:15, CleanBrowsing, 185.228.169.9, ONLINE, 0, 276ms
2018-12-19 23:41:26, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 28ms
2018-12-19 23:41:37, Verisign, 64.6.64.6, ONLINE, 0, 978ms
2018-12-19 23:41:47, Google, 8.8.4.4, ONLINE, 0, 25ms
2018-12-19 23:41:57, Quad, 9.9.9.9, ONLINE, 0, 34ms
2018-12-19 23:42:07, DNS Watch, 84.200.69.80, ONLINE, 0, 115ms
2018-12-19 23:42:22, Comodo Secure DNS, 8.20.247.20, OFFLINE, 1, 0m
2018-12-19 23:42:32, OpenDNS Home, 208.67.222.222, ONLINE, 0, 38ms
2018-12-19 23:42:42, Cloudflare, 1.0.0.1, ONLINE, 0, 26ms
2018-12-19 23:42:52, FreeDNS, 45.33.97.5, ONLINE, 0, 48ms
2018-12-19 23:43:03, Alternate DNS, 23.253.163.53, SLOW, 1, 1328ms
2018-12-19 23:43:13, Dyn, 216.146.36.36, ONLINE, 0, 35ms
2018-12-19 23:43:24, SafeDNS, 195.46.39.40, ONLINE, 0, 584ms
2018-12-19 23:43:39, OpenNIC, 172.98.193.42, OFFLINE, 1, 0m
2018-12-19 23:43:49, Yandex DNS, 77.88.8.1, ONLINE, 0, 144ms
2018-12-19 23:43:59, UncensoredDNS, 91.239.100.100, ONLINE, 0, 118ms
2018-12-19 23:44:09, Hurricane Electric, 74.82.42.42, ONLINE, 0, 97ms
2018-12-19 23:44:20, puntCAT, 109.69.8.51, ONLINE, 0, 946ms
2018-12-19 23:44:31, Neustar, 156.154.70.1, ONLINE, 0, 430ms
2018-12-19 23:44:41, CleanBrowsing, 185.228.168.9, ONLINE, 0, 28ms
2018-12-19 23:44:51, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 24ms
2018-12-19 23:45:01, Verisign, 64.6.65.6, ONLINE, 0, 42ms
2018-12-19 23:45:11, Google, 8.8.8.8, ONLINE, 0, 38ms
2018-12-19 23:45:21, Quad, 149.112.112.112, ONLINE, 0, 22ms
2018-12-19 23:45:31, DNS Watch, 84.200.69.80, ONLINE, 0, 112ms
2018-12-19 23:45:41, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 30ms
2018-12-19 23:45:51, OpenDNS Home, 208.67.220.220, ONLINE, 0, 40ms
2018-12-19 23:46:06, Cloudflare, 1.0.0.1, OFFLINE, 1, 0m
2018-12-19 23:46:16, FreeDNS, 45.33.97.5, ONLINE, 0, 52ms
2018-12-19 23:46:26, Alternate DNS, 198.101.242.72, ONLINE, 0, 70ms
2018-12-19 23:46:36, Dyn, 216.146.36.36, ONLINE, 0, 24ms
2018-12-19 23:46:46, SafeDNS, 195.46.39.39, ONLINE, 0, 328ms
2018-12-19 23:46:56, OpenNIC, 172.98.193.42, ONLINE, 0, 52ms
2018-12-19 23:47:07, Yandex DNS, 77.88.8.1, ONLINE, 0, 139ms
2018-12-19 23:47:17, UncensoredDNS, 91.239.100.100, ONLINE, 0, 118ms
2018-12-19 23:47:27, Hurricane Electric, 74.82.42.42, ONLINE, 0, 108ms
2018-12-19 23:47:37, puntCAT, 109.69.8.51, ONLINE, 0, 120ms
2018-12-19 23:47:52, Neustar, 156.154.70.1, OFFLINE, 1, 0m
2018-12-19 23:48:02, CleanBrowsing, 185.228.169.9, ONLINE, 0, 272ms
2018-12-19 23:48:12, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 32ms
2018-12-19 23:48:22, Verisign, 64.6.64.6, ONLINE, 0, 103ms
2018-12-19 23:48:33, Google, 8.8.8.8, ONLINE, 0, 423ms
2018-12-19 23:48:43, Quad, 9.9.9.9, ONLINE, 0, 27ms
2018-12-19 23:48:53, DNS Watch, 84.200.69.80, ONLINE, 0, 125ms
2018-12-19 23:49:03, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 33ms
2018-12-19 23:49:13, OpenDNS Home, 208.67.220.220, ONLINE, 0, 28ms
2018-12-19 23:49:23, Cloudflare, 1.0.0.1, ONLINE, 0, 28ms
2018-12-19 23:49:33, FreeDNS, 45.33.97.5, ONLINE, 0, 48ms
2018-12-19 23:49:43, Alternate DNS, 23.253.163.53, ONLINE, 0, 46ms
2018-12-19 23:49:53, Dyn, 216.146.36.36, ONLINE, 0, 30ms
2018-12-19 23:50:03, SafeDNS, 195.46.39.39, ONLINE, 0, 138ms
2018-12-19 23:50:13, OpenNIC, 172.98.193.42, ONLINE, 0, 49ms
2018-12-19 23:50:24, Yandex DNS, 77.88.8.1, ONLINE, 0, 408ms
2018-12-19 23:50:39, UncensoredDNS, 91.239.100.100, OFFLINE, 1, 0m
2018-12-19 23:50:49, Hurricane Electric, 74.82.42.42, ONLINE, 0, 96ms
2018-12-19 23:50:59, puntCAT, 109.69.8.51, ONLINE, 0, 121ms
2018-12-19 23:51:09, Neustar, 156.154.71.1, ONLINE, 0, 26ms
2018-12-19 23:51:19, CleanBrowsing, 185.228.169.9, ONLINE, 0, 268ms
2018-12-19 23:51:29, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 22ms
2018-12-19 23:51:41, Verisign, 64.6.65.6, SLOW, 1, 1963ms
2018-12-19 23:51:51, Google, 8.8.8.8, ONLINE, 0, 28ms
2018-12-19 23:52:01, Quad, 9.9.9.9, ONLINE, 0, 27ms
2018-12-19 23:52:13, DNS Watch, 84.200.70.40, SLOW, 1, 1654ms
2018-12-19 23:52:23, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 32ms
2018-12-19 23:52:34, OpenDNS Home, 208.67.222.222, ONLINE, 0, 663ms
2018-12-19 23:52:44, Cloudflare, 1.1.1.1, ONLINE, 0, 26ms
2018-12-19 23:52:54, FreeDNS, 45.33.97.5, ONLINE, 0, 43ms
2018-12-19 23:53:04, Alternate DNS, 23.253.163.53, ONLINE, 0, 42ms
2018-12-19 23:53:14, Dyn, 216.146.36.36, ONLINE, 0, 81ms
2018-12-19 23:53:24, SafeDNS, 195.46.39.39, ONLINE, 0, 140ms
2018-12-19 23:53:34, OpenNIC, 172.98.193.42, ONLINE, 0, 49ms
2018-12-19 23:53:49, Yandex DNS, 77.88.8.8, OFFLINE, 1, 0m
2018-12-19 23:53:59, UncensoredDNS, 89.233.43.71, ONLINE, 0, 111ms
2018-12-19 23:54:09, Hurricane Electric, 74.82.42.42, ONLINE, 0, 102ms
2018-12-19 23:54:19, puntCAT, 109.69.8.51, ONLINE, 0, 118ms
2018-12-19 23:54:29, Neustar, 156.154.70.1, ONLINE, 0, 48ms
2018-12-19 23:54:40, CleanBrowsing, 185.228.169.9, ONLINE, 0, 271ms
2018-12-19 23:54:50, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 28ms
2018-12-19 23:55:00, Verisign, 64.6.65.6, ONLINE, 0, 554ms
2018-12-19 23:55:15, Google, 8.8.8.8, OFFLINE, 1, 0m
2018-12-19 23:55:25, Quad, 9.9.9.9, ONLINE, 0, 23ms
2018-12-19 23:55:35, DNS Watch, 84.200.69.80, ONLINE, 0, 140ms
2018-12-19 23:55:46, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 27ms
2018-12-19 23:55:56, OpenDNS Home, 208.67.222.222, ONLINE, 0, 42ms
2018-12-19 23:56:06, Cloudflare, 1.1.1.1, ONLINE, 0, 23ms
2018-12-19 23:56:16, FreeDNS, 45.33.97.5, ONLINE, 0, 51ms
2018-12-19 23:56:26, Alternate DNS, 198.101.242.72, ONLINE, 0, 64ms
2018-12-19 23:56:41, Dyn, 216.146.36.36, OFFLINE, 1, 0m
2018-12-19 23:56:56, SafeDNS, 195.46.39.39, OFFLINE, 2, 0m
2018-12-19 23:57:11, OpenNIC, 172.98.193.42, OFFLINE, 3, 0m
2018-12-19 23:57:21, Yandex DNS, 77.88.8.1, ONLINE, 0, 295ms
2018-12-19 23:57:31, UncensoredDNS, 89.233.43.71, ONLINE, 0, 115ms
2018-12-19 23:57:41, Hurricane Electric, 74.82.42.42, ONLINE, 0, 116ms
2018-12-19 23:57:51, puntCAT, 109.69.8.51, ONLINE, 0, 123ms
2018-12-19 23:58:01, Neustar, 156.154.70.1, ONLINE, 0, 44ms
2018-12-19 23:58:13, CleanBrowsing, 185.228.169.9, SLOW, 1, 1175ms
2018-12-19 23:58:23, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 30ms
2018-12-19 23:58:34, Verisign, 64.6.64.6, ONLINE, 0, 948ms
2018-12-19 23:58:45, Google, 8.8.8.8, SLOW, 1, 1018ms
2018-12-19 23:59:00, Quad, 9.9.9.9, OFFLINE, 1, 0m
2018-12-19 23:59:10, DNS Watch, 84.200.69.80, ONLINE, 0, 117ms
2018-12-19 23:59:20, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 29ms
2018-12-19 23:59:30, OpenDNS Home, 208.67.220.220, ONLINE, 0, 41ms
2018-12-19 23:59:40, Cloudflare, 1.0.0.1, ONLINE, 0, 15ms
2018-12-19 23:59:50, FreeDNS, 37.235.1.177, ONLINE, 0, 125ms
2018-12-19 00:00:00, Alternate DNS, 198.101.242.72, ONLINE, 0, 64ms
2018-12-19 00:00:10, Dyn, 216.146.35.35, ONLINE, 0, 37ms
2018-12-19 00:00:20, SafeDNS, 195.46.39.39, ONLINE, 0, 147ms
